two,option,launch,shuttle,station
arrays,pat,solar,hst,mission
article,spencer,toronto,edu,henry
sci,world,moon,bill,space
geico,writes,insurance,article,edu
dealer,toyota,book,price,car
driving,drive,clutch,ford,car
system,program,such,long,space
change,transmission,service,cars,oil
years,extra,cost,don,want
people,question,good,day,earth
good,use,time,even,make
engines,apr,article,writes,edu
incoming,ics,uci,gif,edu
reason,george,another,fact,two
ray,system,oort,writes,edu
part,internet,science,gov,nasa
night,blah,rights,light,sky
torque,mustang,cars,power,engine
temperature,quite,things,etc,large
